,,spring,,,,,,,,,,summer,,,,,,,,,,,,,,,winter,,,,,,,,
,Corycaeus (Ditrichocorycaeus) erythraeus,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.31,0,0,0,0,0,0,0.7,1.67,0.27,0,0,0
,Corycaeus (Ditrichocorycaeus) lubbocki,0,0,0,0,0,0,0,0,0,0,3.7,4.38,8.66,8.7,8.77,0,0,0,0.26,0.27,0.25,0.62,0,0,0,3.41,0.39,1.02,0,0,0.27,0,0,0
,Corycaeus (Ditrichocorycaeus) subtilis,0,0,0,0,0,0,0,0,0.72,0,2.22,0,0,0,0,1.49,0,0,0.26,1.62,0.5,0.93,0,0.92,0,0,0,0,0.35,0,0,0,0.19,0
,Corycaeus (Onychocorycaeus) agilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.38,0,0.51,0,0.25,0.31,0,0,0,0,0,0,0,0,0,0,0.38,0
,Corycaeus (Onychocorycaeus) catus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,1.35,0.75,0.62,0.65,0.31,0.84,0.26,0,0,0,0,0,0.55,0.38,0
,Corycaeus (Onychocorycaeus) giesbrechti,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,2.74,1.19,0.38,1.2,3.06,1.08,2.49,0.93,0.65,0.92,0.28,0.26,0,0,0,1.67,0,0,0.19,0
,Corycaeus (Onychocorycaeus) pacificus,0,0,0,0,0.96,0.22,0,0,0,0.32,0,0,0,0,0.27,0,0.76,0,0,0.54,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0
,Corycaeus (Onychocorycaeus) pumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.19,0
,Corycaeus ( Urochocorycaeus) furcifer,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0
,Corycaeus ( Urochocorycaeus) lautus,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0
,Corycaeus ( Urochocorycaeus) longistylis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.19,0
,Farranula carinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.28,0.19,0.31
,Farranula gibbula,0,0,0,0,0.38,0,0,0,2.15,0,0,0,0,0,0,0.3,1.52,0,0.51,2.16,1,0.62,0.97,0.31,0.56,0,0,0,0,0,0,0,0.38,0
,Farranula rostrata,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Corycaeidae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Corycaeidae copepodid,0,0,0,0,8.81,2.2,1.56,0,1.79,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONCAEADAE,Lubbockia aculeata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
,Lubbockia squillimana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0
,Oncaea conifera,0,0.19,0,0,0,0,0.78,0,0,0,2.22,2.19,0.36,0.72,3.84,0.89,0.76,0.3,4.34,12.43,4.48,3.72,1.62,7.36,0.28,1.57,0.39,0.26,1.05,0,0.27,0.83,0.75,1.25
,Oncaea media,0,0.19,0,0,0.19,0,0,0,1.08,0,0,0,0,0,0.55,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1.5,1.25
,Oncaea mediterranea,0,0,0,0,0.96,0.22,0.78,0,0.72,0,0,0,0,0.24,0,0.3,0,0,0.26,0.54,0.25,0.62,0,0,0,0,0,0.26,0,0,0,2.49,0.19,1.87
,Oncaea minuta,0,0,0,0,0,0.22,0,0,0,0,0,0.31,0,0,0,0,0.38,0,0.77,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oncaea similis,0,0,0,0,0,0,0.78,0,0,0,0,0.31,0,0,0,0,0.38,0,0.51,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.19,0
,Oncaea venusta,0.4,0.38,0,2.11,6.32,2.64,5.73,0.29,6.09,2.6,10.37,5.63,3.25,4.59,14.52,4.46,7.2,0.9,13.52,20.81,2.99,10.84,14.94,17.18,2.25,0,0,0.77,4.2,1.67,1.91,8.31,4.88,5.3
,Oncaea sp1,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
,Oncaea sp2,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAPPHIRINIDAE,Copilia mirabilis,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0
,Corina granulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sapphirina auronitens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0
,Sapphirina gemma,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sapphirina iris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
,Sapphirina metallina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
,Sapphirina ovatolanceolata,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31
,Sapphirina stellata,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31
PONTOECIELLIDAE,Pontoeciella abyssicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
RATANIIDAE,Ratania sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No. of species,,5,11,6,7,26,27,39,7,43,33,38,39,30,21,28,38,36,19,43,46,39,41,40,36,23,17,15,22,32,25,34,49,60,43
Shannon's diversity,,1.06 ,1.22 ,0.99 ,1.07 ,1.93 ,1.21 ,2.44 ,1.57 ,2.88 ,2.30 ,2.79 ,2.91 ,2.48 ,2.51 ,2.77 ,2.90 ,2.71 ,2.03 ,3.04 ,2.92 ,2.72 ,2.85 ,2.95 ,2.84 ,1.66 ,1.96 ,1.40 ,1.76 ,2.64 ,2.24 ,2.40 ,2.91 ,3.14 ,3.09 
Density (ind./m3),,1119,1153,1719,855,1246,2123,1159,1497,1351,960,2946,1900,1508,4043,4919,6332,2101,4823,1588,2895,3870,1354,5492,7918,1270,358.1,261.78,80.67,46.06,41.74,9.26,49.7,25.74,46.67
